ID,TextId,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Datetime
1,1,Enjoying a beautiful day at the park!,Positive,15/01/2023 12:30,User123,Twitter,Nature,15,30,USA,2023,1,15,12,2023-01-15 12:30:00
2,1,Enjoying a beautiful day at the park!,Positive,15/01/2023 12:30,User123,Twitter,Park,15,30,USA,2023,1,15,12,2023-01-15 12:30:00
4,2,Traffic was terrible this morning.,Negative,15/01/2023 08:45,CommuterX,Twitter,Traffic,5,10,Canada,2023,1,15,8,2023-01-15 08:45:00
5,2,Traffic was terrible this morning.,Negative,15/01/2023 08:45,CommuterX,Twitter,Morning,5,10,Canada,2023,1,15,8,2023-01-15 08:45:00
7,3,Just finished an amazing workout! 💪,Positive,15/01/2023 15:45,FitnessFan,Instagram,Fitness,20,40,USA,2023,1,15,15,2023-01-15 15:45:00
8,3,Just finished an amazing workout! 💪,Positive,15/01/2023 15:45,FitnessFan,Instagram,Workout,20,40,USA,2023,1,15,15,2023-01-15 15:45:00
10,4,Excited about the upcoming weekend getaway!,Positive,15/01/2023 18:20,AdventureX,Facebook,Travel,8,15,UK,2023,1,15,18,2023-01-15 18:20:00
11,4,Excited about the upcoming weekend getaway!,Positive,15/01/2023 18:20,AdventureX,Facebook,Adventure,8,15,UK,2023,1,15,18,2023-01-15 18:20:00
13,5,Trying out a new recipe for dinner tonight.,Neutral,15/01/2023 19:55,ChefCook,Instagram,Cooking,12,25,Australia,2023,1,15,19,2023-01-15 19:55:00
14,5,Trying out a new recipe for dinner tonight.,Neutral,15/01/2023 19:55,ChefCook,Instagram,Food,12,25,Australia,2023,1,15,19,2023-01-15 19:55:00
16,6,Feeling grateful for the little things in life.,Positive,16/01/2023 09:10,GratitudeNow,Twitter,Gratitude,25,50,India,2023,1,16,9,2023-01-16 09:10:00
17,6,Feeling grateful for the little things in life.,Positive,16/01/2023 09:10,GratitudeNow,Twitter,PositiveVibes,25,50,India,2023,1,16,9,2023-01-16 09:10:00
19,7,Rainy days call for cozy blankets and hot cocoa.,Positive,16/01/2023 14:45,RainyDays,Facebook,RainyDays,10,20,Canada,2023,1,16,14,2023-01-16 14:45:00
20,7,Rainy days call for cozy blankets and hot cocoa.,Positive,16/01/2023 14:45,RainyDays,Facebook,Cozy,10,20,Canada,2023,1,16,14,2023-01-16 14:45:00
22,8,The new movie release is a must-watch!,Positive,16/01/2023 19:30,MovieBuff,Instagram,MovieNight,15,30,USA,2023,1,16,19,2023-01-16 19:30:00
23,8,The new movie release is a must-watch!,Positive,16/01/2023 19:30,MovieBuff,Instagram,MustWatch,15,30,USA,2023,1,16,19,2023-01-16 19:30:00
25,9,Political discussions heating up on the timeline.,Negative,17/01/2023 08:00,DebateTalk,Twitter,Politics,30,60,USA,2023,1,17,8,2023-01-17 08:00:00
26,9,Political discussions heating up on the timeline.,Negative,17/01/2023 08:00,DebateTalk,Twitter,Debate,30,60,USA,2023,1,17,8,2023-01-17 08:00:00
28,10,Missing summer vibes and beach days.,Neutral,17/01/2023 12:20,BeachLover,Facebook,Summer,18,35,Australia,2023,1,17,12,2023-01-17 12:20:00
29,10,Missing summer vibes and beach days.,Neutral,17/01/2023 12:20,BeachLover,Facebook,BeachDays,18,35,Australia,2023,1,17,12,2023-01-17 12:20:00
31,11,Just published a new blog post. Check it out!,Positive,17/01/2023 15:15,BloggerX,Instagram,Blogging,22,45,USA,2023,1,17,15,2023-01-17 15:15:00
32,11,Just published a new blog post. Check it out!,Positive,17/01/2023 15:15,BloggerX,Instagram,NewPost,22,45,USA,2023,1,17,15,2023-01-17 15:15:00
34,12,Feeling a bit under the weather today.,Negative,18/01/2023 10:30,WellnessCheck,Twitter,SickDay,7,15,Canada,2023,1,18,10,2023-01-18 10:30:00
35,12,Feeling a bit under the weather today.,Negative,18/01/2023 10:30,WellnessCheck,Twitter,Health,7,15,Canada,2023,1,18,10,2023-01-18 10:30:00
37,13,Exploring the city's hidden gems.,Positive,18/01/2023 14:50,UrbanExplorer,Facebook,CityExplore,12,25,UK,2023,1,18,14,2023-01-18 14:50:00
38,13,Exploring the city's hidden gems.,Positive,18/01/2023 14:50,UrbanExplorer,Facebook,HiddenGems,12,25,UK,2023,1,18,14,2023-01-18 14:50:00
40,14,"New year, new fitness goals! 💪",Positive,18/01/2023 18:00,FitJourney,Instagram,NewYear,28,55,USA,2023,1,18,18,2023-01-18 18:00:00
41,14,"New year, new fitness goals! 💪",Positive,18/01/2023 18:00,FitJourney,Instagram,FitnessGoals,28,55,USA,2023,1,18,18,2023-01-18 18:00:00
43,15,Technology is changing the way we live.,Neutral,19/01/2023 09:45,TechEnthusiast,Twitter,Tech,15,30,India,2023,1,19,9,2023-01-19 09:45:00
44,15,Technology is changing the way we live.,Neutral,19/01/2023 09:45,TechEnthusiast,Twitter,Innovation,15,30,India,2023,1,19,9,2023-01-19 09:45:00
46,16,Reflecting on the past and looking ahead.,Positive,19/01/2023 13:20,Reflections,Facebook,Reflection,20,40,USA,2023,1,19,13,2023-01-19 13:20:00
47,16,Reflecting on the past and looking ahead.,Positive,19/01/2023 13:20,Reflections,Facebook,Future,20,40,USA,2023,1,19,13,2023-01-19 13:20:00
49,17,Just adopted a cute furry friend! 🐾,Positive,19/01/2023 17:10,PetAdopter,Instagram,PetAdoption,15,30,Canada,2023,1,19,17,2023-01-19 17:10:00
50,17,Just adopted a cute furry friend! 🐾,Positive,19/01/2023 17:10,PetAdopter,Instagram,FurryFriend,15,30,Canada,2023,1,19,17,2023-01-19 17:10:00
52,18,Late-night gaming session with friends.,Positive,20/01/2023 00:05,GamerX,Twitter,Gaming,18,35,UK,2023,1,20,0,2023-01-20 00:05:00
53,18,Late-night gaming session with friends.,Positive,20/01/2023 00:05,GamerX,Twitter,LateNight,18,35,UK,2023,1,20,0,2023-01-20 00:05:00
55,19,Attending a virtual conference on AI.,Neutral,20/01/2023 11:30,TechConference,Facebook,AI,25,50,USA,2023,1,20,11,2023-01-20 11:30:00
56,19,Attending a virtual conference on AI.,Neutral,20/01/2023 11:30,TechConference,Facebook,TechConference,25,50,USA,2023,1,20,11,2023-01-20 11:30:00
58,20,Winter blues got me feeling low.,Negative,20/01/2023 15:15,WinterBlues,Instagram,WinterBlues,8,15,USA,2023,1,20,15,2023-01-20 15:15:00
59,20,Winter blues got me feeling low.,Negative,20/01/2023 15:15,WinterBlues,Instagram,Mood,8,15,USA,2023,1,20,15,2023-01-20 15:15:00
61,21,Sipping coffee and enjoying a good book.,Positive,21/01/2023 08:40,Bookworm,Twitter,Reading,22,45,India,2023,1,21,8,2023-01-21 08:40:00
62,21,Sipping coffee and enjoying a good book.,Positive,21/01/2023 08:40,Bookworm,Twitter,CoffeeTime,22,45,India,2023,1,21,8,2023-01-21 08:40:00
64,22,Exploring the world of virtual reality.,Positive,21/01/2023 13:20,VRExplorer,Facebook,VR,15,30,USA,2023,1,21,13,2023-01-21 13:20:00
65,22,Exploring the world of virtual reality.,Positive,21/01/2023 13:20,VRExplorer,Facebook,VirtualReality,15,30,USA,2023,1,21,13,2023-01-21 13:20:00
67,23,Productive day ticking off my to-do list.,Positive,21/01/2023 16:45,ProductivityPro,Instagram,Productivity,30,60,USA,2023,1,21,16,2023-01-21 16:45:00
68,23,Productive day ticking off my to-do list.,Positive,21/01/2023 16:45,ProductivityPro,Instagram,WorkFromHome,30,60,USA,2023,1,21,16,2023-01-21 16:45:00
70,24,Just finished a challenging workout routine.,Positive,22/01/2023 09:15,FitnessWarrior,Twitter,Fitness,20,40,UK,2023,1,22,9,2023-01-22 09:15:00
71,24,Just finished a challenging workout routine.,Positive,22/01/2023 09:15,FitnessWarrior,Twitter,ChallengeAccepted,20,40,UK,2023,1,22,9,2023-01-22 09:15:00
73,25,Celebrating a milestone at work! 🎉,Positive,22/01/2023 14:30,CareerMilestone,Facebook,Career,12,25,Canada,2023,1,22,14,2023-01-22 14:30:00
74,25,Celebrating a milestone at work! 🎉,Positive,22/01/2023 14:30,CareerMilestone,Facebook,Milestone,12,25,Canada,2023,1,22,14,2023-01-22 14:30:00
76,26,Sunday brunch with friends.,Positive,22/01/2023 12:00,BrunchBuddy,Instagram,Brunch,15,30,UK,2023,1,22,12,2023-01-22 12:00:00
77,26,Sunday brunch with friends.,Positive,22/01/2023 12:00,BrunchBuddy,Instagram,Friends,15,30,UK,2023,1,22,12,2023-01-22 12:00:00
79,27,Learning a new language for personal growth.,Positive,23/01/2023 16:20,LanguageLearner,Facebook,LanguageLearning,25,50,India,2023,1,23,16,2023-01-23 16:20:00
80,27,Learning a new language for personal growth.,Positive,23/01/2023 16:20,LanguageLearner,Facebook,PersonalGrowth,25,50,India,2023,1,23,16,2023-01-23 16:20:00
82,28,Quiet evening with a good book.,Positive,23/01/2023 19:45,BookLover,Instagram,Reading,15,30,Australia,2023,1,23,19,2023-01-23 19:45:00
83,28,Quiet evening with a good book.,Positive,23/01/2023 19:45,BookLover,Instagram,QuietTime,15,30,Australia,2023,1,23,19,2023-01-23 19:45:00
85,29,Reflecting on the importance of mental health.,Positive,24/01/2023 11:30,MentalHealthMatters,Twitter,MentalHealth,22,45,USA,2023,1,24,11,2023-01-24 11:30:00
86,29,Reflecting on the importance of mental health.,Positive,24/01/2023 11:30,MentalHealthMatters,Twitter,SelfCare,22,45,USA,2023,1,24,11,2023-01-24 11:30:00
88,30,New painting in progress! 🎨,Positive,24/01/2023 15:00,ArtistInAction,Facebook,Art,12,25,Canada,2023,1,24,15,2023-01-24 15:00:00
89,30,New painting in progress! 🎨,Positive,24/01/2023 15:00,ArtistInAction,Facebook,PaintingInProgress,12,25,Canada,2023,1,24,15,2023-01-24 15:00:00
